Locacion,Codigo,NombreCliente,Ciudad,Ruta
I3,70861,Cliente0000001,ICA,115
I3,75318,Cliente0000002,ICA,106
I3,75319,Cliente0000003,ICA,106
I3,75336,Cliente0000004,ICA,118
I3,75339,Cliente0000005,ICA,118
I3,75340,Cliente0000006,ICA,118
I3,75343,Cliente0000007,ICA,106
I3,75345,Cliente0000008,ICA,141
I3,75357,Cliente0000009,ICA,114
I3,94693,Cliente0000010,ICA,112
I3,94698,Cliente0000011,ICA,113
I3,94702,Cliente0000012,ICA,128
I3,94705,Cliente0000013,ICA,141
I3,94708,Cliente0000014,ICA,129
I3,94731,Cliente0000015,ICA,126
I3,94734,Cliente0000016,ICA,129
I3,107109,Cliente0000017,ICA,118
I3,107113,Cliente0000018,ICA,118
I3,107114,Cliente0000019,ICA,118
I3,108272,Cliente0000020,LIMA,131
I3,108298,Cliente0000021,ICA,131
I3,109058,Cliente0000022,ICA,117
I3,109084,Cliente0000023,ICA,125
I3,109094,Cliente0000024,ICA,119
I3,109097,Cliente0000025,ICA,117
I3,109119,Cliente0000026,ICA,111
I3,109127,Cliente0000027,ICA,118
I3,109137,Cliente0000028,ICA,123
I3,109140,Cliente0000029,ICA,123
I3,109145,Cliente0000030,ICA,116
I3,109153,Cliente0000031,ICA,140
I3,109166,Cliente0000032,ICA,128
I3,117076,Cliente0000033,ICA,127
I3,117278,Cliente0000034,ICA,101
I3,119487,Cliente0000035,ICA,119
I3,123645,Cliente0000036,ICA,119
I3,123658,Cliente0000037,ICA,121
I3,123667,Cliente0000038,ICA,119
I3,123672,Cliente0000039,ICA,118
I3,123679,Cliente0000040,ICA,116
I3,123690,Cliente0000041,ICA,116
I3,123700,Cliente0000042,ICA,121
I3,123707,Cliente0000043,ICA,122
I3,123711,Cliente0000044,ICA,120
I3,123713,Cliente0000045,ICA,120
I3,123724,Cliente0000046,ICA,121
I3,123728,Cliente0000047,ICA,121
I3,123735,Cliente0000048,ICA,115
I3,123738,Cliente0000049,ICA,115
I3,123740,Cliente0000050,ICA,115
I3,123741,Cliente0000051,ICA,115
I3,123745,Cliente0000052,ICA,141
I3,123746,Cliente0000053,ICA,141
I3,123755,Cliente0000054,ICA,124
I3,123761,Cliente0000055,ICA,124
I3,123763,Cliente0000056,ICA,124
I3,123774,Cliente0000057,ICA,127
I3,123775,Cliente0000058,ICA,127
I3,123779,Cliente0000059,ICA,127
I3,123783,Cliente0000060,ICA,124
I3,123792,Cliente0000061,ICA,124
I3,123800,Cliente0000062,ICA,114
I3,123802,Cliente0000063,ICA,114
I3,123804,Cliente0000064,ICA,119
I3,123807,Cliente0000065,ICA,119
I3,123808,Cliente0000066,ICA,119
I3,123811,Cliente0000067,ICA,119
I3,123813,Cliente0000068,ICA,119
I3,123819,Cliente0000069,ICA,120
I3,123821,Cliente0000070,ICA,120
I3,123822,Cliente0000071,ICA,120
I3,123824,Cliente0000072,ICA,120
I3,123825,Cliente0000073,ICA,120
I3,123840,Cliente0000074,ICA,118
I3,123842,Cliente0000075,ICA,118
I3,123853,Cliente0000076,ICA,124
I3,123855,Cliente0000077,ICA,126
I3,123858,Cliente0000078,ICA,126
I3,123859,Cliente0000079,ICA,126
I3,123865,Cliente0000080,ICA,126
I3,123875,Cliente0000081,ICA,126
I3,123877,Cliente0000082,ICA,126
I3,123878,Cliente0000083,ICA,126
I3,123881,Cliente0000084,ICA,114
I3,123882,Cliente0000085,ICA,114
I3,123901,Cliente0000086,ICA,122
I3,123926,Cliente0000087,ICA,121
I3,123928,Cliente0000088,ICA,121
I3,123930,Cliente0000089,ICA,122
I3,123939,Cliente0000090,ICA,127
I3,123942,Cliente0000091,ICA,900
I3,123947,Cliente0000092,ICA,127
I3,124071,Cliente0000093,ICA,120
I3,124084,Cliente0000094,ICA,109
I3,124650,Cliente0000095,ICA,121
I3,124655,Cliente0000096,ICA,117
I3,124671,Cliente0000097,ICA,900
I3,124698,Cliente0000098,ICA,109
I3,124703,Cliente0000099,ICA,120
I3,124704,Cliente0000100,ICA,114
I3,124706,Cliente0000101,ICA,114
I3,126256,Cliente0000102,ICA,115
I3,126263,Cliente0000103,ICA,120
I3,126277,Cliente0000104,ICA,109
I3,126282,Cliente0000105,ICA,127
I3,126317,Cliente0000106,ICA,120
I3,129105,Cliente0000107,ICA,141
I3,129376,Cliente0000108,ICA,111
I3,129379,Cliente0000109,ICA,121
I3,129522,Cliente0000110,ICA,115
I3,129645,Cliente0000111,ICA,117
I3,129965,Cliente0000112,ICA,129
I3,129971,Cliente0000113,ICA,900
I3,130388,Cliente0000114,ICA,125
I3,130437,Cliente0000115,ICA,110
I3,130442,Cliente0000116,ICA,125
I3,131194,Cliente0000117,ICA,109
I3,132216,Cliente0000118,ICA,129
I3,132325,Cliente0000119,ICA,128
I3,132356,Cliente0000120,ICA,110
I3,132381,Cliente0000121,ICA,116
I3,132436,Cliente0000122,ICA,106
I3,132501,Cliente0000123,ICA,111
I3,132504,Cliente0000124,ICA,110
I3,132505,Cliente0000125,ICA,114
I3,132518,Cliente0000126,ICA,120
I3,132830,Cliente0000127,ICA,105
I3,132835,Cliente0000128,ICA,900
I3,132852,Cliente0000129,ICA,108
I3,132882,Cliente0000130,ICA,103
I3,132889,Cliente0000131,ICA,900
I3,132896,Cliente0000132,ICA,124
I3,132899,Cliente0000133,ICA,129
I3,132972,Cliente0000134,ICA,124
I3,132976,Cliente0000135,ICA,900
I3,132984,Cliente0000136,ICA,107
I3,132995,Cliente0000137,ICA,115
I3,132996,Cliente0000138,ICA,115
I3,132997,Cliente0000139,ICA,108
I3,133047,Cliente0000140,ICA,127
I3,133814,Cliente0000141,ICA,119
I3,138505,Cliente0000142,ICA,117
I3,145797,Cliente0000143,ICA,131
I3,170206,Cliente0000144,ICA,131
I3,276312,Cliente0000145,ICA,114
I3,276335,Cliente0000146,ICA,124
I3,276559,Cliente0000147,ICA,111
I3,276824,Cliente0000148,ICA,115
I3,277060,Cliente0000149,ICA,112
I3,277080,Cliente0000150,ICA,114
I3,277085,Cliente0000151,ICA,104
I3,277133,Cliente0000152,ICA,115
I3,277199,Cliente0000153,ICA,125
I3,277218,Cliente0000154,ICA,129
I3,277650,Cliente0000155,ICA,117
I3,277676,Cliente0000156,ICA,102
I3,277684,Cliente0000157,ICA,113
I3,277724,Cliente0000158,ICA,128
I3,277759,Cliente0000159,ICA,109
I3,277762,Cliente0000160,ICA,109
I3,277775,Cliente0000161,ICA,141
I3,277887,Cliente0000162,ICA,119
I3,277991,Cliente0000163,ICA,113
I3,278050,Cliente0000164,ICA,112
I3,278104,Cliente0000165,ICA,119
I3,278139,Cliente0000166,ICA,124
I3,278168,Cliente0000167,ICA,118
I3,278211,Cliente0000168,ICA,109
